days,date,y_zeta_0.001,y_zeta_0.005,y_zeta_0.009,y_zeta_0.012,y_zeta_0.016,y_zeta_0.02
42,11/04/2020,80.06281319,67.54360731,55.51828189,52.7405863,45.12012526,40.835834
43,12/04/2020,92.62774563,77.33710828,62.20106686,58.18834277,49.01936059,43.80751183
44,13/04/2020,109.214533,87.5413699,69.39499724,63.21049953,53.48066521,47.63564088
45,14/04/2020,125.2527624,99.04057248,76.62621379,68.109229,58.20441102,51.37283655
46,15/04/2020,145.2147167,110.8940559,83.23751255,72.90788468,61.92759131,54.07502523
47,16/04/2020,164.3765463,123.0013002,89.7988839,77.8233035,65.57943523,56.95255245
48,17/04/2020,185.3073662,133.162942,97.51951353,82.17233413,69.10703715,58.30503976
49,18/04/2020,204.691545,142.7765709,102.7776347,85.38313403,71.62236333,60.30997443
50,19/04/2020,225.6378341,151.1754912,108.3212669,88.22698172,74.03969181,63.00477748
51,20/04/2020,243.1626923,158.7369362,113.4510702,91.68552525,76.1970083,64.58165227
52,21/04/2020,259.3148712,164.2689523,118.3786578,94.82851826,77.78403344,65.81309729
53,22/04/2020,271.2108629,168.8649879,121.5306121,97.48685972,79.5154678,67.13122989
54,23/04/2020,281.526839,172.9461194,125.4330555,99.86518207,81.15832277,68.43744983
55,24/04/2020,290.6685641,175.0939263,128.3484807,102.126865,82.42750569,69.62436226
56,25/04/2020,293.5163517,179.0543547,129.4988049,103.3416803,83.66738977,70.68884609
57,26/04/2020,291.9168381,180.4789524,130.7847381,105.3683559,84.52608008,70.67627462
58,27/04/2020,290.7914956,182.0853886,130.9043838,106.7902334,84.788304,71.08277624
59,28/04/2020,287.9249191,183.240774,130.9660058,107.6945344,85.49568128,70.75588825
60,29/04/2020,281.7556569,182.7895871,131.3973345,107.4901116,85.40120866,70.73182429
61,30/04/2020,274.3424003,183.7601894,131.4571667,106.848691,85.05764485,70.67230908
62,01/05/2020,264.1809402,183.7172448,129.1398031,106.6326559,85.34288476,71.42561757
63,02/05/2020,255.2828856,182.3377868,128.6968466,106.264926,84.78753372,70.65836606
64,03/05/2020,246.8099853,179.6625598,127.7630421,105.1131344,84.60833698,70.14412013
65,04/05/2020,236.2235005,176.8216225,127.3486563,104.1410819,84.2379023,69.96352942
66,05/05/2020,222.5302676,173.6678514,126.3786258,102.9647156,84.19073825,70.00067346
67,06/05/2020,211.129147,170.6640674,124.876415,101.8727867,83.6085675,69.70906703
68,07/05/2020,195.6653472,165.3290772,122.971043,101.5960273,83.50218905,69.14638812
69,08/05/2020,182.9983895,160.1600395,122.5985671,100.7147281,82.56453012,68.14629655
70,09/05/2020,169.905399,155.8328499,121.1699806,100.2914764,82.70322824,67.63465776
71,10/05/2020,156.3655754,152.4916595,119.839911,100.1870289,82.45969208,67.5906371
72,11/05/2020,145.5904776,149.1265008,117.3838454,98.84549778,82.255541,67.43930544
73,12/05/2020,136.8200777,145.6547343,116.1195249,98.13243491,81.04814706,66.94118924
74,13/05/2020,127.519776,140.7723798,114.9649563,97.89455184,81.13174058,66.6771578
75,14/05/2020,121.4873582,135.896141,112.8216719,96.94888315,79.9262426,66.24313481
76,15/05/2020,112.6356794,132.8151267,111.0855922,95.17826189,79.06897093,65.92951644
77,16/05/2020,104.7891401,127.9972654,110.3223683,92.6993787,77.74583083,65.42826724
78,17/05/2020,97.27267883,124.1668309,108.1227851,90.91256614,76.00362839,65.21686567
79,18/05/2020,87.923944,118.9354865,105.8894195,89.94588764,75.17851932,64.36639646
80,19/05/2020,80.45338829,114.2094507,103.0564356,87.68922399,74.16487228,64.08749412
81,20/05/2020,73.31649806,110.2373984,101.014595,86.60517115,72.77388819,63.16984625
82,21/05/2020,65.02523266,106.1979321,98.40832656,84.78497216,72.37871409,62.4532672
83,22/05/2020,60.86078464,100.6518249,96.0185343,83.8708304,71.71478163,61.98447209
84,23/05/2020,56.82879693,94.66826934,92.70888208,83.36124961,71.32928876,61.99719982
85,24/05/2020,54.11468575,89.84953312,90.83708804,81.68229573,70.57550134,61.12120313
86,25/05/2020,52.42217294,85.85398783,88.59395127,80.1503841,69.74633227,60.71520178
87,26/05/2020,47.069936,81.78111156,85.91958348,79.86922693,69.21836249,60.42562256
88,27/05/2020,44.17888079,79.46030713,84.57744621,78.03278218,68.45809227,60.00596998
89,28/05/2020,41.82512419,77.06981689,82.96995651,77.67468459,67.67274457,59.84051702
90,29/05/2020,38.75992277,73.81722026,80.75248185,75.84967819,66.90686298,59.4792113
91,30/05/2020,35.58848922,73.04210553,79.47081104,74.11223838,66.01898408,58.88232057
92,31/05/2020,34.14335604,69.79200876,76.97751725,73.36457832,66.05302427,58.64533069
93,01/06/2020,29.62999087,68.09429119,76.08548416,71.67300667,65.26173405,58.20601814
94,02/06/2020,30.56051305,64.57061725,75.25235573,70.41073473,64.28322407,57.37461781
95,03/06/2020,27.62266786,61.06091799,72.49315229,69.52764945,63.62641394,57.04692434
96,04/06/2020,26.71084294,58.66469134,70.61205631,67.52206484,62.90994367,56.87926486
97,05/06/2020,24.13133079,56.09671434,68.73545323,67.02988816,61.76715543,56.00848125
98,06/06/2020,21.54625119,52.34894644,67.36623945,66.05678045,61.20638933,55.32194585
99,07/06/2020,18.40779142,50.23288711,66.19720796,64.77752859,60.61325032,54.91875591
100,08/06/2020,17.3570707,46.21834404,64.73141779,64.41318535,60.04842156,54.41444988
101,09/06/2020,12.61174206,43.24721986,62.84201195,63.27574164,59.26754594,53.96371177
102,10/06/2020,10.86536658,41.04089323,60.59126375,62.20534846,58.33675872,53.85530679
103,11/06/2020,8.963875471,38.7541811,59.28810182,61.1881771,57.77597013,52.67507793
104,12/06/2020,6.916948958,37.63068518,57.55006399,59.71445156,57.33721282,51.97051453
105,13/06/2020,6.342850333,36.0457457,55.15559122,58.75847065,56.51325192,51.78148149
106,14/06/2020,4.900706818,33.64373813,52.99042307,57.25642988,55.36481356,50.96928294
107,15/06/2020,5.184695027,32.6604703,51.40425473,56.06194334,54.47022146,50.96981654
108,16/06/2020,6.968495865,31.59257269,49.88268724,54.37638929,53.81760902,50.29621449
109,17/06/2020,6.341314044,28.40335707,49.23611,53.2052574,53.61850668,49.55618288
110,18/06/2020,7.506741175,25.48559194,48.25254764,51.48144707,52.62033881,49.4267311
111,19/06/2020,7.431215212,24.24676857,47.14849443,51.20993229,51.76249066,49.00899838
112,20/06/2020,7.970847169,22.41394123,45.4111707,50.64248816,51.20158513,48.69186487
113,21/06/2020,8.578120991,19.71284988,44.25403485,49.97715539,50.15137532,48.39988388
114,22/06/2020,6.602572236,17.60473712,42.96608578,48.66907542,50.08673544,47.62036252
115,23/06/2020,4.818771397,17.17012024,41.56746345,48.30682552,49.56747378,47.23770949
116,24/06/2020,4.765235483,17.20325941,39.74426327,47.3401458,48.55111191,46.40885925
117,25/06/2020,3.029943122,16.87698238,38.51117097,46.34775945,47.4656728,46.2341469
118,26/06/2020,3.119611802,13.98797549,36.95552756,44.43595722,47.25134332,46.1245099
119,27/06/2020,3.101599735,13.38819757,36.04794909,42.89540782,46.01987258,45.1335439
120,28/06/2020,1.642371776,14.7179758,35.82036033,41.763047,45.31920001,44.67817615
121,29/06/2020,1.642371776,14.1325887,33.34914603,40.71459243,43.94814875,43.61659175
122,30/06/2020,1.642371776,13.84868684,31.54266326,39.18614005,43.6692317,43.62567666
123,01/07/2020,2.208383739,12.34896587,30.99089862,38.498322,42.7702468,43.32481903
